work,mode,fraction,seed,attack_f1,tpr,fpr
Mateen / Kitsune,mateen,1.0,1,0.8618063652995965,0.8677261688181683,0.03045864787772053
Mateen / Kitsune,mateen,0.25,0,0.7662393087849664,0.7169549359772286,0.032209557095324685
Mateen / Kitsune,mateen,0.25,1,0.6268306986666387,0.5198596808871789,0.028961046242025407
Mateen / Kitsune,mateen,0.05,0,0.6511338669127912,0.5588271776882165,0.03288572491477539
Mateen / Kitsune,mateen,0.05,1,0.6365266931826805,0.5156923251016269,0.0218282588213344
Mateen / Kitsune,mateen,0.01,0,0.08521663999938424,0.048185731321976656,0.017254422725412537
Mateen / Kitsune,mateen,0.01,1,0.084363490938875,0.04774288176460859,0.017542457959680062
Mateen / Kitsune,no_update,1.0,0,0.31222043407948513,0.9514062377590724,0.8642550544055204
Mateen / Kitsune,no_update,1.0,1,0.3140916023149545,0.9608964928926454,0.8673074561631482
Mateen / Kitsune,no_update,1.0,2,0.3132764582771924,0.950601056745676,0.8590651996919453
Mateen / Kitsune,no_update,0.5,0,0.30947217491964735,0.939861682958888,0.8623897482154412
Mateen / Kitsune,no_update,0.5,1,0.3145906205733426,0.9571643700873077,0.8611118613998966
Mateen / Kitsune,no_update,0.5,2,0.3111101218598052,0.9429278993044977,0.8591911725485398
Mateen / Kitsune,no_update,0.25,0,0.3057050356171843,0.9260180099407213,0.8619982109584582
Mateen / Kitsune,no_update,0.25,1,0.30711462684990054,0.9297653659003665,0.8605067377320028
Mateen / Kitsune,no_update,0.25,2,0.3054039539549428,0.9250681139614035,0.8621446118458519
Mateen / Kitsune,no_update,0.1,0,0.30386513766127754,0.9275924652466465,0.8714836265928473
Mateen / Kitsune,no_update,0.1,1,0.30412125944608037,0.9162013300719876,0.8571603993089878
Mateen / Kitsune,no_update,0.1,2,0.3026847969475604,0.9232444877743056,0.8713640091236126
Mateen / Kitsune,no_update,0.05,0,0.2658770154547661,0.7568984427363968,0.8212104697743452
Mateen / Kitsune,no_update,0.05,1,0.2987325001722396,0.8822520695328209,0.8395017285518728
Mateen / Kitsune,no_update,0.05,2,0.2907483489248974,0.8568442562303601,0.8421787084990369
Mateen / Kitsune,no_update,0.01,0,0.27778738603352227,0.5679899200041783,0.5259727658032949
Mateen / Kitsune,no_update,0.01,1,0.2783084754592648,0.5679017853256848,0.524261804734809
Mateen / Kitsune,no_update,0.01,2,0.2768931214685519,0.5678724070995204,0.5285752969271021
Wang / MANDA-IDS,ids,1.0,0,0.9107643632702955,0.8489276139410188,0.011739264751312943
Wang / MANDA-IDS,ids,1.0,1,0.9087232813402658,0.84343163538874,0.009885696632684585
Wang / MANDA-IDS,ids,1.0,2,0.9113942273087166,0.8486595174262734,0.01050355267222737
Wang / MANDA-IDS,ids,0.5,0,0.9102011494252874,0.849195710455764,0.012872000823808053
Wang / MANDA-IDS,ids,0.5,1,0.8899114550651885,0.8554959785522788,0.05159097930182267
Wang / MANDA-IDS,ids,0.5,2,0.9143960523492812,0.856970509383378,0.013386880856760375
Wang / MANDA-IDS,ids,0.25,0,0.8753816658382446,0.8262734584450402,0.047265987025023166
Wang / MANDA-IDS,ids,0.25,1,0.8985970778512757,0.8285522788203753,0.011945216764493873
Wang / MANDA-IDS,ids,0.25,2,0.8970384923233647,0.8262734584450402,0.012254144784265265
Wang / MANDA-IDS,ids,0.1,0,0.8689058956916098,0.8218498659517426,0.05365049943363196
